YDR424C	316	297	19
YDR425W	352	410	18
YDR426C	0	9	66
YDR427W	2750	2741	9
YDR428C	239	205	34
YDR429C	8485	8486	1
YDR430C	396	405	3
YDR431W	1	0	11
YDR432W	3565	3566	0
YDR433W	108	108	0
YDR434W	737	737	0
YDR435C	346	343	3
YDR436W	256	223	33
YDR437W	39	36	3
YDR438W	119	100	19
YDR439W	190	190	0
YDR440W	346	343	3
YDR441C	229	218	11
YDR442W	1	2	23
YDR443C	405	426	3
YDR444W	297	400	0
YDR445C	0	0	103
tK(CUU)D2	0	0	0
YDR446W	46	0	46
YDR447C	5605	5605	0
YDR448W	301	289	12
YDR449C	963	963	0
YDR450W	16203	16203	0
YDR451C	163	159	4
YDR452W	1485	1462	23
YDR453C	78	71	7
YDR454C	1938	1933	5
YDR455C	2	0	49
YDR456W	465	506	6
YDR457W	2480	2478	2
YDR458C	561	560	1
YDR459C	148	142	6
YDR460W	442	416	26
YDR461W	657	657	0
YDR461C-A	71	64	7
YDR462W	341	339	2
YDR463W	626	626	1
YDR464W	1404	1424	0
YDR464C-A	0	0	20
YDR465C	2567	2567	0
YDR466W	545	590	21
YDR467C	17	10	73
YDR468C	644	639	5
YDR469W	460	460	0
YDR470C	168	138	30
YDR471W	6600	6592	8
snR13	409	407	2
YDR472W	444	443	1
YDR473C	499	492	7
YDR475C	325	285	40
YDR476C	366	332	34
YDR477W	1028	1020	8
YDR478W	174	170	5
YDR479C	412	304	110
YDR480W	184	169	15
YDR481C	1035	1032	3
YDR482C	179	169	10
YDR483W	2607	2604	3
YDR484W	322	319	3
YDR485C	883	877	6
YDR486C	978	967	11
YDR487C	2149	2146	3
YDR488C	193	192	1
YDR489W	113	94	19
YDR490C	293	264	30
YDR491C	20	1	65
YDR492W	279	323	2
YDR493W	159	154	5
YDR494W	625	621	4
YDR495C	474	470	4
YDR496C	2619	2619	0
YDR497C	2391	2390	1
YDR498C	523	509	14
YDR499W	249	229	20
YDR500C	6332	6332	0
YDR501W	71	56	15
YDR502C	830	810	20
YDR503C	178	169	9
YDR504C	250	70	180
YDR505C	390	385	5
YDR506C	169	132	38
tL(CAA)D	0	0	0
YDR507C	1129	1128	1
YDR508C	1213	2296	1
YDR509W	17	9	1094
YDR510W	1980	2635	4
YDR510C-A	527	3	1183
YDR511W	115	109	6
YDR512C	68	51	75
YDR513W	529	587	0
YDR514C	303	301	3
YDR515W	348	346	2
YDR516C	420	410	10
YDR517W	514	508	6
YDR518W	362	356	6
YDR519W	771	767	4
YDR520C	167	203	12
YDR521W	6	0	54
YDR522C	63	4	59
YDR523C	33	32	1
YDR524C	307	299	8
YDR524W-C	6180	1	6179
YDR524C-B	11471	11472	0
YDR524C-A	10	15	0
YDR525W	0	0	5
YDR525W-A	41	38	3
YDR526C	2	1	388
YDR527W	533	892	29
snR84	366	338	28
YDR528W	206	206	0
YDR529C	918	913	5
YDR530C	214	211	3
YDR531W	705	702	3
YDR532C	207	197	10
YDR533C	108	93	15
YDR534C	105	105	0
YDR535C	5	3	2
YDR536W	66	0	66
YDR537C	5	2	157
YDR538W	37	188	3
YDR539W	433	432	1
YDR540C	56	50	6
YDR541C	110	110	0
YDR542W	0	0	0
YDR543C	1	1	0
YDR544C	3	3	0
YDR545W	1	0	1
YDR545C-A	0	0	0
YOL166W-A	0	0	0
YOL166C	0	0	0
YOL165C	1	1	0
YOL164W-A	19	1	18
YOL164W	134	85	49
YOL163W	11	11	0
YOL162W	3	3	1
YOL161C	1	1	0
YOL160W	7	4	3
YOL159C-A	58	52	6
YOL159C	137	137	0
YOL158C	856	854	2
YOL157C	41	39	3
YOL156W	20	3	18
YOL155W-A	0	0	0
YOL155C	4119	156	3973
YOL154W	88	61	27
YOL152W	47	18	29
YOL151W	455	525	27
YOL150C	0	5	92
YOL149W	823	822	1
YOL148C	458	458	0
YOL147C	120	110	10
YOL146W	344	342	2
YOL145C	1725	1722	3
YOL144W	1382	1302	80
YOL143C	2183	2181	2
YOL142W	537	536	1
YOL141W	200	200	0
YOL140W	286	286	0
YOL139C	6944	6946	0
YOL138C	452	445	7
YOL137W	279	274	5
YOL136C	248	248	0
YOL135C	229	223	6
YOL134C	1	0	203
YOL133W	97	299	0
YOL132W	20	8	12
YOL131W	4	1	3
YOL130W	925	916	10
YOL129W	439	435	4
YOL128C	212	200	12
YOL127W	15098	15098	0
YOL126C	262	257	5
YOL125W	676	658	18
YOL124C	1041	1040	1
YOL123W	2311	2311	0
YOL122C	298	280	18
YOL121C	3944	3941	4
YOL120C	14936	14936	0
YOL119C	190	190	0
YOL118C	35	2	33
YOL117W	208	198	12
YOL116W	224	212	12
YOL115W	682	678	4
YOL114C	45	36	9
YOL113W	441	431	10
YOL112W	521	514	8
YOL111C	770	763	7
YOL110W	50	46	4
YOL109W	3960	3960	0
tG(UCC)O	1	1	0
YOL108C	347	346	1
YOL107W	104	104	0
YOL106W	17	11	6
tT(AGU)O1	0	0	0
YOL105C	219	213	6
YOL104C	158	150	8
YOL103W	790	787	3
YOL102C	322	321	1
YOL101C	289	287	3
YOL100W	337	416	2
YOL099C	0	1	79
YOL098C	1586	1581	5
snR58	30	23	7
YOL097W-A	17	7	10
YOL097C	2715	2697	19
YOL096C	168	166	2
YOL095C	104	97	7
YOL094C	295	286	10
YOL093W	691	690	1
YOL092W	722	722	0
YOL091W	64	54	10
YOL090W	566	566	0
YOL089C	301	300	1
YOL088C	816	814	3
YOL087C	695	695	0
YOL086W-A	117	111	6
YOL086C	36425	36426	0
YOL085W-A	17	28	2
YOL085C	9	1	21
YOL084W	11	9	2
YOL083W	36	38	7
YOL083C-A	0	4	5
YOL082W	232	231	1
YOL081W	2741	2738	4
YOL080C	406	971	1
YOL079W	1	0	567
YOL078W	334	334	2
YOL077W-A	239	239	0
YOL077C	2696	2694	2
YOL076W	689	688	1
YOL075C	262	253	9
YOL073C	212	208	4
YOL072W	272	272	0
YOL071W	218	216	2
YOL070C	644	644	0
YOL069W	373	362	12
YOL068C	608	598	10
YOL067C	164	160	5
YOL066C	360	350	10
YOL065C	276	262	14
YOL064C	824	823	1
YOL063C	314	313	1
YOL062C	541	539	3
YOL061W	863	858	5
YOL060C	437	433	4
YOL059W	1173	1171	2
YOL058W	275	189	92
YOL057W	957	959	0
YOL056W	372	372	0
YOL055C	175	160	15
tG(GCC)O1	1	1	0
tN(GUU)O1	0	0	0
YOL054W	538	538	0
YOL053W	146	145	1
YOL052C-A	10	10	0
YOL052C	660	652	8
snR81	213	207	6
YOL051W	1131	1239	1
YOL050C	4	0	113
YOL049W	1220	1220	2
YOL048C	178	171	7
YOL047C	60	5	55
YOL046C	14	0	142
YOL045W	540	668	0
YOL044W	210	208	2
YOL043C	227	223	4
YOL042W	164	161	3
YOL041C	2243	2243	0
YOL040C	22296	22294	3
YOL039W	11951	11953	0
YOL038C-A	33	30	3
YOL038W	1884	1879	5
YOL037C	10	0	84
YOL036W	571	707	1
YOL035C	1	1	63
snR50	169	169	0
YOL034W	336	335	2
YOL033W	209	193	16
YOL032W	390	388	2
YOL031C	389	386	3
YOL030W	1110	1110	0
YOL029C	319	318	1
YOL028C	248	248	0
YOL027C	874	873	1
YOL026C	217	217	0
tS(GCU)O	15	15	0
YOL025W	103	102	1
YOL024W	5	5	0
YOL023W	149	149	0
YOL022C	1302	1302	0
tG(GCC)O2	1	1	0
YOL021C	970	970	0
YOL020W	404	405	2
tY(GUA)O	1	1	0
YOL019W-A	1	1	0
YOL019W	389	389	0
YOL018C	365	363	2
YOL017W	216	167	52
YOL016C	3316	3316	1
YOL015W	147	132	15
YOL014W	303	300	3
YOL013W-B	8	6	2
YOL013W-A	3	3	0
tP(UGG)O1	0	0	0
YOL013C	316	314	2
YOL012C	856	803	53
YOL011W	531	531	0
YOL010W	665	665	0
YOL009C	168	162	6
YOL008W	219	216	3
YOL007C	398	385	13
YOL006C	1622	1605	18
YOL005C	592	583	9
YOL004W	1889	1887	2
YOL003C	272	260	12
YOL002C	588	586	2
YOL001W	166	164	2
YOR001W	900	899	2
YOR002W	532	531	1
YOR003W	109	64	45
YOR004W	812	812	0
YOR005C	219	188	31
YOR006C	932	928	4
YOR007C	4726	4713	14
tR(ACG)O	2	1	1
YOR008C	772	772	1
YOR008C-A	23	1	22
YOR008W-B	13	13	0
YOR009W	178	177	1
YOR010C	68	66	2
YOR011W	209	206	3
tT(AGU)O2	1	1	0
YOR011W-A	1	0	1
YOR012W	26	17	9
YOR013W	14	4	10
YOR014W	1604	1604	0
YOR015W	245	239	6
YOR016C	513	504	10
YOR017W	364	357	7
YOR018W	210	204	6
YOR019W	176	107	69
YOR020C	735	732	3
YOR020W-A	72	69	3
YOR021C	1622	1622	0
YOR022C	194	173	21
YOR023C	658	657	1
YOR024W	2	1	1
YOR025W	338	332	6
YOR026W	288	248	40
YOR027W	2698	2697	1
YOR028C	98	93	5
YOR029W	5	0	5
YOR030W	365	364	3
YOR032C	45	10	35
YOR032W-A	7	1	7
YOR033C	301	299	5
YOR034C	298	289	9
YOR034C-A	11	10	1
YOR035C	424	416	8
YOR036W	451	414	37
YOR037W	165	164	1
YOR038C	464	461	3
YOR039W	789	788	1
YOR040W	138	73	87
snR9	225	225	22
